systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
1339,060101,129,,50333,Sandvig,Uspecificeret,1,20082,Helleristning/billedsten,BXXX,Bronzealder,-1100,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1339/                ,14.7889764930902,55.2819474983699
1339,060101,129,,50333,Sandvig,Uspecificeret,2,07070,Grube (uspecificeret funktion),BXXX,Bronzealder,-1100,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1339/                ,14.7889764930902,55.2819474983699
1339,060101,129,,50333,Sandvig,Uspecificeret,3,07097,Ildsted,BXXX,Bronzealder,-1100,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1339/                ,14.7889764930902,55.2819474983699
1339,060101,129,,50333,Sandvig,Uspecificeret,4,07210,Stenlægning/Stensamling,BXXX,Bronzealder,-1100,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1339/                ,14.7889764930902,55.2819474983699
1339,060101,129,,50333,Sandvig,Uspecificeret,5,07046,Enkeltfund,AXXX,Stenalder,-3950,-1701,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1339/                ,14.7889764930902,55.2819474983699
1798,060403,78,,523616,Hallebrøndshøi,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,AXXX,Stenalder,-3950,-2801,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1798/                ,15.126239083583,55.1240481308304
1798,060403,78,,523616,Hallebrøndshøi,Fortidsminde/lokalt kaldenavn,1,01151,Dysse eller jættestue,AXXX,Stenalder,-3950,-2801,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1798/                ,15.126239083583,55.1240481308304
1798,060403,78,,523616,Hallebrøndshøi,Fortidsminde/lokalt kaldenavn,2,01046,Gravgenstand,AXXX,Stenalder,-3950,-1701,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1798/                ,15.126239083583,55.1240481308304
1798,060403,78,,523616,Hallebrøndshøi,Fortidsminde/lokalt kaldenavn,2,20199,Skåltegn,OXXX,Oldtid,-3950,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1798/                ,15.126239083583,55.1240481308304
1887,060404,1,,523648,Svendshøi,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/1887/                ,15.1222470669943,55.1312142962556
